CumuTrainTime,Iteration,CumuTime (s),CumuSteps,CumuCompletedTrajs,CumuUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumuReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
0.0,0,2.8580520153045654,80,0,0,nan,nan,0.0,0.0,25.418259023354565,11.285016555925566,24.0,10,163,293.2484076433121,193.48919299361404,240.0,120,2060,1.9426751592356688,1.4449944565306012,2.0,1,17,233.3973946588691,135.41916878078445,200.96454912751693,80.27661102836163,1121.968055087942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5710446834564209,5,6.269792318344116,480,19,96,840.5646946831807,168.11293893663614,4.0,4.0,25.935205183585314,11.009916613434887,24.0,10,155,297.49460043196547,198.4796083693417,240.0,120,2060,1.939524838012959,1.461017349817348,2.0,1,18,235.2163234184394,140.5991677271132,202.30636641214238,79.47384491807802,1095.3781608668965,2885.154291152954,1823.8438207361094,2649.2744140625,333.1661682128906,9458.7607421875,190.8263,91.20046,171.31183,31.36799,534.1424,3.5787659411629043,0.019253923765228297,3.5842827558517456,3.5303313732147217,3.6040539741516113,35.84971443812052,0.6715371395656274,36.0351676940918,34.18449020385742,36.747215270996094
1.130798578262329,11,9.561192750930786,960,38,192,857.5197143852613,171.50394287705225,4.0,4.0,29.34256926952141,20.506029744135454,25.0,11,252,337.3299748110831,266.70094655805326,240.0,120,2160,2.2670025188916876,2.019862162664804,2.0,1,17,259.71911177229504,169.60697202613747,208.8781958430181,74.823047386944,1313.8403639288306,4073.225915574003,3189.6490378195745,3636.7891845703125,0.18941335380077362,13564.525390625,568.26666,359.68558,516.3304,5.4840784,1573.6484,3.4590417370200157,0.05375079939603407,3.472068190574646,3.3166236877441406,3.5397439002990723,32.00539674361547,1.5466149770863664,32.31575393676758,28.04183006286621,34.4979362487793
1.7609436511993408,17,12.867068529129028,1440,52,288,761.7293550559588,152.34587101119175,4.0,4.0,31.495726495726494,33.7723965401028,26.0,10,325,346.6666666666667,273.3520944155496,240.0,120,2060,2.341880341880342,2.221992098538344,2.0,1,18,262.72951268935424,156.35607710617674,210.64759306800056,84.4137233999483,1055.51867141383,2992.735153759519,2376.296326729642,2575.7615966796875,3.6287617683410645,16000.958984375,800.9966,425.8141,806.55566,11.238974,2049.6655,3.1856575508912406,0.11407587620088289,3.1732993125915527,2.945225477218628,3.4092888832092285,24.8715500831604,2.6807782889633036,24.40433406829834,19.725345611572266,30.54978370666504
2.328935146331787,23,16.156898260116577,1920,66,384,845.083076266964,169.01661525339279,4.0,4.0,29.300242130750604,16.256477194916194,26.0,10,184,331.7191283292978,204.0514547158076,280.0,120,1960,2.249394673123487,1.567923279634269,2.0,1,14,258.34313126503025,138.44158324963388,221.61876169041443,74.823047386944,1010.0862030488946,2979.325644125541,2106.306542619209,2421.823486328125,15.87971019744873,12127.5107421875,1506.3168,852.3937,1420.1404,143.36049,4243.9995,2.7670804063479104,0.1562661969805291,2.786901354789734,2.375124454498291,3.039294958114624,17.02342740694682,2.3982038825293044,17.22483539581299,11.145210266113281,21.528533935546875
2.852968692779541,29,19.29123020172119,2400,80,480,915.9718938868658,183.19437877737315,4.0,4.0,30.045,12.511313879844915,28.0,10,123,293.5,163.5045870916165,240.0,120,1400,2.0225,1.285299089706361,2.0,1,12,227.49912215002297,117.43135651735807,201.56940456337028,77.11339225016617,802.997379476488,1484.7561119099457,1280.745571543957,1126.9378051757812,15.063467979431152,5645.7392578125,1463.8193,971.4861,1301.4307,64.23418,4483.9517,2.3523889432350793,0.13599692146561038,2.349088430404663,2.021956205368042,2.600321054458618,11.531978130340576,1.4685261140921175,11.47609806060791,8.465792655944824,14.912153244018555
3.3752694129943848,35,22.187849283218384,2880,90,576,919.0107947822785,183.80215895645568,4.0,4.0,35.442477876106196,13.515819237890815,34.0,11,117,277.6401179941003,151.49707294304588,240.0,120,960,1.9085545722713864,1.1106419942322776,2.0,1,8,205.78053277243083,105.4003157508653,191.27784377035596,73.33406874394382,614.360034244259,1952.1131207545598,2751.0473176131372,1272.36669921875,38.2889289855957,16399.630859375,1521.6517,1372.9589,1230.9019,108.468346,7071.8486,1.7873934643963973,0.2601723674675282,1.7723320722579956,1.2385058403015137,2.265665292739868,7.151920601725578,1.867322611646195,6.82790994644165,3.937591552734375,11.319287300109863
3.912890672683716,41,24.883867025375366,3360,101,672,892.8218357238552,178.56436714477104,4.0,4.0,44.22592592592593,10.704311785879923,43.0,19,89,260.5925925925926,121.60508616898947,240.0,120,720,1.8518518518518519,0.8987111637394429,2.0,1,6,180.76143525989255,82.91290493961363,173.97162629270227,60.58630665444836,485.58569479320545,1099.2614006201427,866.247494264162,825.1967163085938,62.882232666015625,3766.43896484375,1437.0062,766.0168,1267.961,188.66754,3363.8428,1.190528040130933,0.24632204832245144,1.2318699955940247,0.6379789710044861,1.773301362991333,4.033340199540059,1.057729341328873,4.0598304271698,1.983991026878357,7.080783843994141
4.491896152496338,47,27.399924993515015,3840,115,768,829.0076980883458,165.80153961766916,4.0,4.0,48.65702479338843,12.234710995018096,47.0,13,92,265.9504132231405,125.99736657615811,240.0,120,720,1.7933884297520661,0.9263574392860862,2.0,1,6,178.83438200360396,86.33595031192742,171.8793162567848,58.78683276050459,466.3237279310355,890.1768031915029,670.368319495838,703.5694274902344,80.12570190429688,2651.03515625,1439.4781,1119.1317,1106.746,148.51608,5002.9785,0.7346349324410161,0.17241973181312362,0.7278388440608978,0.39416325092315674,1.0935741662979126,2.514548202355703,0.5343420633649082,2.4329813718795776,1.5712029933929443,3.6931190490722656
5.26408839225769,53,29.99856424331665,4320,121,864,621.6068684507176,124.3213736901435,4.0,4.0,54.18636363636364,11.072356875428984,53.0,17,102,250.36363636363637,121.81153306143413,240.0,120,640,1.8227272727272728,0.9047510045118985,2.0,1,5,160.16678054751256,79.72827206195836,155.5573620904712,62.44086271803677,386.72602986247296,743.5716372728348,1128.8916254088933,375.9292907714844,28.14017105102539,6899.2216796875,847.85846,766.034,598.2008,139.05249,4520.0376,0.32780757018675405,0.09361857321598768,0.32967527210712433,0.1339394599199295,0.6087853908538818,1.4717052405079205,0.1805008485515651,1.4553139805793762,1.1484224796295166,2.110836982727051
