CumuTrainTime,Iteration,CumuTime (s),CumuSteps,CumuCompletedTrajs,CumuUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumuReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
0.0,0,2.8617358207702637,80,0,0,nan,nan,0.0,0.0,25.276507276507278,10.475615139026793,24.0,9,128,287.6923076923077,179.64123672618265,240.0,120,2020,1.8711018711018712,1.258656773389061,2.0,1,15,230.075329108089,130.3285331772377,202.30636641214238,75.57883574438787,1264.5359041418048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5626423358917236,5,6.303845167160034,480,20,96,853.1174591390372,170.62349182780744,4.0,4.0,25.123711340206185,8.585840335528665,24.0,9,90,288.74226804123714,153.59159115396423,240.0,120,1120,1.8103092783505155,1.0340077704231025,2.0,1,8,231.13999076553998,118.8884985944571,202.63826924791152,77.89231540420826,775.4837629425372,3288.5814811130986,2608.1178411203878,2383.59375,-0.08458194136619568,12238.1689453125,231.6238,161.51959,191.57028,0.34372807,862.58765,3.5771345694859824,0.01566248631939474,3.578904151916504,3.5379295349121094,3.6020007133483887,35.78651865323385,0.5504835741593923,35.84421157836914,34.42741775512695,36.671783447265625
1.1172406673431396,11,9.81815481185913,960,37,192,865.4912443458172,173.09824886916343,4.0,4.0,26.238095238095237,9.265423496114913,25.0,10,72,291.42857142857144,162.8989085960023,240.0,120,1200,1.9090909090909092,1.152995175554703,2.0,1,9,231.5967628539488,124.04764546008755,203.83899040011318,80.27661102836163,819.2641015447911,2807.8617486953735,1693.509433398927,2393.55224609375,297.4941101074219,9104.7109375,494.99902,285.74768,424.9024,92.51801,1524.7706,3.429934538900852,0.09582927284617845,3.4631563425064087,3.183727741241455,3.5506789684295654,31.16973586877187,2.7596668977752485,32.018110275268555,24.601137161254883,34.85736846923828
1.6710295677185059,17,13.13601803779602,1440,53,288,866.7562670083294,173.35125340166587,4.0,4.0,29.769607843137255,19.43202980131397,26.0,9,310,315.6372549019608,220.16390014213906,240.0,120,2100,2.1372549019607843,1.7280228738856582,2.0,1,19,242.8213776257289,141.79591990850616,202.8172410747993,79.47384491807802,988.3042013526447,2038.265431245168,1566.7356769244927,1407.3319702148438,208.41976928710938,7170.92626953125,782.26245,413.13327,654.9463,131.558,2051.0085,3.112086412807306,0.08997212243091877,3.108701229095459,2.865347385406494,3.3334717750549316,23.23232748111089,1.8811192067914448,23.162163734436035,18.610015869140625,28.32549476623535
2.2756245136260986,23,16.37244939804077,1920,68,384,793.919967821504,158.7839935643008,4.0,4.0,30.112244897959183,9.741697305346978,29.0,12,92,268.57142857142856,144.30692913342162,240.0,120,960,1.788265306122449,1.0343908051485795,2.0,1,8,206.39521735702027,108.77582571379963,188.1482062223597,73.33406874394382,607.0405285487528,1953.2161086797714,1536.3247990563102,1582.2286987304688,19.235422134399414,8561.6064453125,1209.4515,773.1074,1072.4529,64.53417,4343.553,2.79154322296381,0.14732220735488427,2.8059353828430176,2.4314396381378174,3.098079204559326,17.59891962011655,2.296326422277398,17.58030414581299,12.756026268005371,22.9478702545166
2.8251779079437256,29,19.30394172668457,2400,82,480,873.4365121991641,174.68730243983282,4.0,4.0,37.02147239263804,11.550482646443927,37.0,10,103,217.17791411042944,123.66345186903203,160.0,120,960,1.4570552147239264,0.8194318939687268,1.0,1,7,155.26328771525556,89.61472134212016,128.92169769927085,63.70866515461358,688.8444991326129,1810.9495050311089,2624.3181702457696,787.3177185058594,18.524383544921875,11928.82421875,1250.8009,1011.19,945.5668,84.047745,4385.163,2.1827404983341694,0.19450081346416068,2.1503047943115234,1.8416748046875,2.651853084564209,10.53257288535436,2.126919697806387,10.158074378967285,7.087225437164307,16.16733741760254
3.3465497493743896,35,22.200186491012573,2880,96,576,920.6481091937413,184.12962183874828,4.0,4.0,41.43205574912892,11.198000239451046,42.0,14,79,198.3275261324042,103.17599747448818,160.0,120,640,1.2613240418118468,0.5825592247983041,1.0,1,5,135.14405268063683,72.47715498174017,96.19567074468549,65.00220911602243,437.66227970969055,314.1450658639272,272.5029241229445,195.83512115478516,28.9896240234375,1236.4627685546875,613.99316,432.52728,451.4335,146.73415,2032.0245,1.8314913548529148,0.1701242288232779,1.8269768953323364,1.4846248626708984,2.322204828262329,7.275731066862742,1.364722058944082,7.119160413742065,5.0563530921936035,11.579202651977539
4.07361364364624,41,25.079054594039917,3360,103,672,660.1895703825544,132.03791407651087,4.0,4.0,45.0188679245283,12.308135928692039,45.0,13,76,180.9811320754717,95.29586313578295,120.0,120,600,1.1433962264150943,0.485840813265844,1.0,1,5,118.5201985523736,68.80938004555358,84.4137233999483,60.58630665444836,414.188912949564,225.89707638820013,278.95029266944726,80.11748504638672,18.103023529052734,1347.92529296875,418.67764,334.23273,314.36517,54.45039,1746.9077,1.4926893723507721,0.10238129597901943,1.4926084876060486,1.176626205444336,1.7622019052505493,4.800207195182641,0.579485674221359,4.761578559875488,3.3199687004089355,6.443087577819824
4.671287536621094,47,27.76663613319397,3840,114,768,803.113546771894,160.6227093543788,4.0,4.0,43.301818181818184,13.890474053159151,44.0,13,146,197.38181818181818,126.09541710496869,120.0,120,1280,1.2654545454545454,0.7807265105640517,1.0,1,10,132.28356242076939,86.20278880074837,91.48112572165243,57.040805040684845,701.6521438941663,261.8194949924946,360.4530313988709,103.0403823852539,14.023085594177246,1509.8792724609375,519.5933,559.2808,290.59216,54.831604,2416.3376,1.4996683138112228,0.10866948006584934,1.496493399143219,1.2825262546539307,1.7684640884399414,4.737930233279864,0.6007926472833905,4.621355056762695,3.7436423301696777,6.292117118835449
5.348883628845215,53,30.585249662399292,4320,126,864,708.3866118891896,141.67732237783792,4.0,4.0,39.337704918032784,13.204348065972543,39.0,10,124,185.18032786885246,92.67279088483473,120.0,120,840,1.1770491803278689,0.5445387407744707,1.0,1,7,128.41905176326375,65.55587812899653,96.19567074468549,63.071578503067435,447.01187411260867,355.2006073991458,531.0095008683985,133.53809356689453,20.76443862915039,3169.35986328125,513.55035,416.26694,394.90912,108.09041,2236.7097,1.547974418848753,0.10982881242081918,1.5550800561904907,1.3041995763778687,1.8106658458709717,4.942041757206122,0.5696928605770644,4.985043525695801,3.7294578552246094,6.347347736358643
